#Arquivo Dados/ColetaChamadaReal60.txt 
#Parâmetros(Ocupação: 60.00%, Capacidade: 588000.000 bps)
#Coleta|Ocupação|E(n)|E(w)|lambda|Little

100 0.00000 0.00000 -nan 0.00000 -nan
17000 10.34013 32.48501 993.24676 0.03271 0.00000000000009947598
17100 10.42114 32.30129 991.65540 0.03257 0.00000000000006394885
17200 10.36056 32.13281 983.42408 0.03267 0.00000000000007105427
17300 10.34690 31.97726 982.60498 0.03254 0.00000000000011368684
17400 10.34403 31.80126 975.91161 0.03259 0.00000000000015631940
17500 10.34366 31.63078 969.41982 0.03263 0.00000000000012434498
17600 10.47758 31.46833 969.95188 0.03244 0.00000000000010302870
17700 10.41838 31.33064 961.09586 0.03260 0.00000000000010658141
17800 10.35985 31.21045 959.49216 0.03253 0.00000000000010658141
17900 10.37684 31.10079 953.26065 0.03263 0.00000000000017408297
18000 10.39232 31.01232 952.59699 0.03256 0.00000000000018118840
18100 10.38964 30.92162 955.08752 0.03238 0.00000000000015987212
18200 10.36276 30.82047 952.34720 0.03236 0.00000000000012434498
18300 10.33106 30.65367 949.17458 0.03230 0.00000000000014921397
18400 10.41759 30.49586 941.48302 0.03239 0.00000000000015987212
18500 10.36128 30.34492 940.33669 0.03227 0.00000000000016697754
18600 10.32396 30.21145 931.89544 0.03242 0.00000000000024158453
18700 10.32546 30.09091 928.54801 0.03241 0.00000000000029132252
18800 10.35537 29.94921 920.00855 0.03255 0.00000000000019895197
18900 10.32808 29.82305 918.00593 0.03249 0.00000000000015276669
19000 10.32700 29.70070 916.09304 0.03242 0.00000000000020605739
19100 10.32812 29.56682 916.76352 0.03225 0.00000000000020250468
19200 10.34367 29.42368 911.18492 0.03229 0.00000000000014921397
19300 10.33665 29.28959 908.82475 0.03223 0.00000000000010658141
19400 10.35944 29.15386 904.93585 0.03222 0.00000000000011013412
19500 10.34156 29.02468 902.68143 0.03215 0.00000000000011013412
19600 10.41731 28.89884 900.50445 0.03209 0.00000000000009237056
19700 10.36443 28.78369 895.79577 0.03213 0.00000000000010302870
19800 10.37360 28.68329 894.37659 0.03207 0.00000000000009592327
19900 10.45165 28.56855 889.69349 0.03211 0.00000000000012789769
20000 10.39939 28.43772 885.91032 0.03210 0.00000000000008881784
20100 10.35913 28.32841 882.79217 0.03209 0.00000000000008881784
20200 10.36494 28.21150 883.52280 0.03193 0.00000000000006394885
20300 10.37911 28.08684 878.52535 0.03197 0.00000000000007105427
20400 10.40431 27.97109 872.49274 0.03206 0.00000000000007815970
20500 10.36352 27.86269 866.74516 0.03215 0.00000000000004618528
20600 10.40008 27.75038 864.83794 0.03209 0.00000000000006394885
20700 10.39855 27.63877 864.23336 0.03198 0.00000000000004618528
20800 10.37121 27.52964 862.37414 0.03192 0.00000000000006039613
20900 10.37553 27.42178 857.95689 0.03196 0.00000000000003197442
21000 10.38011 27.32349 855.13172 0.03195 -0.00000000000002486900
21100 10.38294 27.20515 854.20934 0.03185 0.00000000000001065814
21200 10.36596 27.08143 851.81961 0.03179 0.00000000000005329071
21300 10.37575 26.96186 847.03187 0.03183 0.00000000000003552714
21400 10.33596 26.84119 845.95205 0.03173 0.00000000000005329071
21500 10.30623 26.71846 842.29752 0.03172 0.00000000000001776357
21600 10.27858 26.59661 839.89287 0.03167 0.00000000000008881784
21700 10.27957 26.47829 836.35932 0.03166 0.00000000000004618528
21800 10.32132 26.37252 829.61176 0.03179 0.00000000000004973799
21900 10.27419 26.29471 826.18954 0.03183 0.00000000000006750156
22000 10.32254 26.20749 823.66404 0.03182 0.00000000000004263256
22100 10.27583 26.12761 822.53596 0.03176 0.00000000000006039613
22200 10.30497 26.05127 819.17595 0.03180 0.00000000000004263256
22300 10.28685 25.98514 818.45855 0.03175 0.00000000000003197442
