# Arquivo Coleta1.txt 
#Coluna 1 > Ponto de coleta
#Coluna 2 > Ocupação
#Coluna 3 > E(n)
#Coluna 4 > E(w)
#Coluna 5 > lambda
#Coluna 6 > Erro de Little
26100 22214.07708 5.62034 2.80910 2.00077 0.00000000023750157396
26200 22287.97727 5.60882 2.80457 1.99989 0.00000000021932411443
26300 22377.74989 5.60876 2.80475 1.99973 0.00000000021379342741
26400 22470.70231 5.61027 2.80455 2.00042 0.00000000020400214851
26500 22551.88729 5.60603 2.80286 2.00011 0.00000000024398971732
26600 22639.86315 5.60337 2.80148 2.00015 0.00000000025350832544
26700 22730.29484 5.61815 2.80760 2.00105 0.00000000029467273066
26800 22827.81031 5.62261 2.80931 2.00142 0.00000000028315927381
26900 22917.16906 5.61620 2.80565 2.00175 0.00000000027304025707
27000 22997.45066 5.60492 2.80054 2.00137 0.00000000026296387290
27100 23083.22976 5.60364 2.79986 2.00140 0.00000000029499247489
27200 23165.14441 5.59211 2.79467 2.00099 0.00000000029699709359
27300 23247.00116 5.58147 2.78992 2.00059 0.00000000029612934327
27400 23329.15885 5.57392 2.78609 2.00062 0.00000000028280311426
27500 23405.14946 5.56371 2.78125 2.00044 0.00000000027251711998
27600 23494.77717 5.56461 2.78205 2.00018 0.00000000026679991549
27700 23572.12050 5.55731 2.77885 1.99986 0.00000000026140778431
27800 23662.95279 5.55706 2.77888 1.99975 0.00000000024889512673
27900 23755.64014 5.55728 2.77844 2.00014 0.00000000026610091908
28000 23842.24144 5.55098 2.77549 2.00000 0.00000000031080915619
28100 23939.44797 5.55356 2.77609 2.00050 0.00000000030074431834
28200 24032.63789 5.56158 2.77956 2.00089 0.00000000032524027915
28300 24123.13606 5.55648 2.77633 2.00138 0.00000000031761970831
28400 24192.20334 5.54475 2.77154 2.00060 0.00000000032943248129
28500 24274.00105 5.53538 2.76778 1.99993 0.00000000030482638635
28600 24357.78491 5.53605 2.76817 1.99990 0.00000000032178792964
28700 24453.13319 5.54063 2.77017 2.00010 0.00000000034278979655
28800 24539.27925 5.53657 2.76886 1.99958 0.00000000038447289796
28900 24628.45986 5.53441 2.76787 1.99952 0.00000000038642422595
29000 24697.37736 5.52192 2.76253 1.99886 0.00000000033748914774
29100 24768.58893 5.51325 2.75933 1.99804 0.00000000031016522684
29200 24852.19522 5.51041 2.75686 1.99880 0.00000000026714186419
29300 24935.87101 5.50340 2.75311 1.99898 0.00000000033177816050
29400 25023.64367 5.49898 2.75043 1.99932 0.00000000028459457013
29500 25096.54753 5.48717 2.74563 1.99851 0.00000000025975666063
29600 25171.78812 5.47977 2.74215 1.99834 0.00000000024017321465
29700 25255.85949 5.47112 2.73823 1.99805 0.00000000024157920109
29800 25338.57839 5.46135 2.73306 1.99826 0.00000000024307222901
29900 25420.41281 5.45311 2.72966 1.99773 0.00000000028894309168
30000 25510.20728 5.45785 2.73175 1.99793 0.00000000028150104470
30100 25590.64743 5.44840 2.72773 1.99741 0.00000000023778934377
30200 25666.24666 5.43894 2.72385 1.99679 0.00000000023558222040
30300 25746.34776 5.43377 2.72137 1.99670 0.00000000023103563507
30400 25831.07649 5.42734 2.71832 1.99658 0.00000000026432722677
30500 25932.24300 5.44982 2.72880 1.99715 0.00000000024179946934
30600 26022.03290 5.45454 2.73164 1.99680 0.00000000024312374336
30700 26101.96157 5.44571 2.72730 1.99674 0.00000000025071589249
30800 26191.17426 5.44583 2.72672 1.99721 0.00000000021758062019
30900 26265.30454 5.43584 2.72250 1.99663 0.00000000022010038236
31000 26348.10996 5.43629 2.72298 1.99645 0.00000000025226754019
31100 26416.03380 5.42510 2.71823 1.99582 0.00000000024607782478
